ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
27488001,10/12/2019,D-III,Wabash,Wooster,RUSHING,Isaac,Avant,ATT,16
27488002,10/12/2019,D-III,Wabash,Wooster,RUSHING,Isaac,Avant,YDS,61
27488003,10/12/2019,D-III,Wabash,Wooster,RUSHING,Isaac,Avant,TD,0
27488004,10/12/2019,D-III,Wabash,Wooster,RUSHING,Isaac,Avant,LONG,20
27488005,10/12/2019,D-III,Wabash,Wooster,RUSHING,Ike,James,ATT,13
27488006,10/12/2019,D-III,Wabash,Wooster,RUSHING,Ike,James,YDS,46
27488007,10/12/2019,D-III,Wabash,Wooster,RUSHING,Ike,James,TD,0
27488008,10/12/2019,D-III,Wabash,Wooster,RUSHING,Ike,James,LONG,8
27488009,10/12/2019,D-III,Wabash,Wooster,RUSHING,Liam,Thompson,ATT,13
27488010,10/12/2019,D-III,Wabash,Wooster,RUSHING,Liam,Thompson,YDS,13
27488011,10/12/2019,D-III,Wabash,Wooster,RUSHING,Liam,Thompson,TD,0
27488012,10/12/2019,D-III,Wabash,Wooster,RUSHING,Liam,Thompson,LONG,14
27488013,10/12/2019,D-III,Wabash,Wooster,RUSHING,Heisman,Skeens,ATT,1
27488014,10/12/2019,D-III,Wabash,Wooster,RUSHING,Heisman,Skeens,YDS,0
27488015,10/12/2019,D-III,Wabash,Wooster,RUSHING,Heisman,Skeens,TD,0
27488016,10/12/2019,D-III,Wabash,Wooster,RUSHING,Heisman,Skeens,LONG,0
27488017,10/12/2019,D-III,Wabash,Wooster,PASSING,Liam,Thompson,CP-ATT-INT,24-41-3
27488018,10/12/2019,D-III,Wabash,Wooster,PASSING,Liam,Thompson,YDS,312
27488019,10/12/2019,D-III,Wabash,Wooster,PASSING,Liam,Thompson,TD,1
27488020,10/12/2019,D-III,Wabash,Wooster,PASSING,Liam,Thompson,LONG,57
27488021,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Nick,Hamman,REC,9
27488022,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Nick,Hamman,YDS,99
27488023,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Nick,Hamman,TD,0
27488024,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Nick,Hamman,LONG,24
27488025,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Devon,Anderson,REC,3
27488026,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Devon,Anderson,YDS,84
27488027,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Devon,Anderson,TD,1
27488028,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Devon,Anderson,LONG,57
27488029,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Cooper,Sullivan,REC,5
27488030,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Cooper,Sullivan,YDS,73
27488031,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Cooper,Sullivan,TD,0
27488032,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Cooper,Sullivan,LONG,27
27488033,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Ivan,Martinez,REC,3
27488034,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Ivan,Martinez,YDS,22
27488035,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Ivan,Martinez,TD,0
27488036,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Ivan,Martinez,LONG,13
27488037,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Ike,James,REC,1
27488038,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Ike,James,YDS,14
27488039,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Ike,James,TD,0
27488040,10/12/2019,D-III,Wabash,Wooster,RECEIVING,Ike,James,LONG,14
