ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
11368001,11/3/2018,FCS,Wofford,Samford,RUSHING,Andre,Stoddard,ATT,15
11368002,11/3/2018,FCS,Wofford,Samford,RUSHING,Andre,Stoddard,YDS,69
11368003,11/3/2018,FCS,Wofford,Samford,RUSHING,Andre,Stoddard,TD,0
11368004,11/3/2018,FCS,Wofford,Samford,RUSHING,Andre,Stoddard,LONG,18
11368005,11/3/2018,FCS,Wofford,Samford,RUSHING,Ryan,Lovelace,ATT,5
11368006,11/3/2018,FCS,Wofford,Samford,RUSHING,Ryan,Lovelace,YDS,44
11368007,11/3/2018,FCS,Wofford,Samford,RUSHING,Ryan,Lovelace,TD,0
11368008,11/3/2018,FCS,Wofford,Samford,RUSHING,Ryan,Lovelace,LONG,13
11368009,11/3/2018,FCS,Wofford,Samford,RUSHING,Lennox,McAfee,ATT,10
11368010,11/3/2018,FCS,Wofford,Samford,RUSHING,Lennox,McAfee,YDS,38
11368011,11/3/2018,FCS,Wofford,Samford,RUSHING,Lennox,McAfee,TD,0
11368012,11/3/2018,FCS,Wofford,Samford,RUSHING,Lennox,McAfee,LONG,10
11368013,11/3/2018,FCS,Wofford,Samford,RUSHING,D'mauriae,VanCleave,ATT,4
11368014,11/3/2018,FCS,Wofford,Samford,RUSHING,D'mauriae,VanCleave,YDS,24
11368015,11/3/2018,FCS,Wofford,Samford,RUSHING,D'mauriae,VanCleave,TD,1
11368016,11/3/2018,FCS,Wofford,Samford,RUSHING,D'mauriae,VanCleave,LONG,19
11368017,11/3/2018,FCS,Wofford,Samford,RUSHING,Miller,Mosley,ATT,10
11368018,11/3/2018,FCS,Wofford,Samford,RUSHING,Miller,Mosley,YDS,21
11368019,11/3/2018,FCS,Wofford,Samford,RUSHING,Miller,Mosley,TD,0
11368020,11/3/2018,FCS,Wofford,Samford,RUSHING,Miller,Mosley,LONG,10
11368021,11/3/2018,FCS,Wofford,Samford,RUSHING,Nathan,Walker,ATT,3
11368022,11/3/2018,FCS,Wofford,Samford,RUSHING,Nathan,Walker,YDS,14
11368023,11/3/2018,FCS,Wofford,Samford,RUSHING,Nathan,Walker,TD,0
11368024,11/3/2018,FCS,Wofford,Samford,RUSHING,Nathan,Walker,LONG,10
11368025,11/3/2018,FCS,Wofford,Samford,RUSHING,T.J.,Luther,ATT,1
11368026,11/3/2018,FCS,Wofford,Samford,RUSHING,T.J.,Luther,YDS,12
11368027,11/3/2018,FCS,Wofford,Samford,RUSHING,T.J.,Luther,TD,0
11368028,11/3/2018,FCS,Wofford,Samford,RUSHING,T.J.,Luther,LONG,12
11368029,11/3/2018,FCS,Wofford,Samford,RUSHING,Joe,Newman,ATT,5
11368030,11/3/2018,FCS,Wofford,Samford,RUSHING,Joe,Newman,YDS,5
11368031,11/3/2018,FCS,Wofford,Samford,RUSHING,Joe,Newman,TD,0
11368032,11/3/2018,FCS,Wofford,Samford,RUSHING,Joe,Newman,LONG,6
11368033,11/3/2018,FCS,Wofford,Samford,RUSHING,Luke,Carter,ATT,1
11368034,11/3/2018,FCS,Wofford,Samford,RUSHING,Luke,Carter,YDS,-20
11368035,11/3/2018,FCS,Wofford,Samford,RUSHING,Luke,Carter,TD,0
11368036,11/3/2018,FCS,Wofford,Samford,RUSHING,Luke,Carter,LONG,0
11368037,11/3/2018,FCS,Wofford,Samford,PASSING,Miller,Mosley,CP-ATT-INT,3-7-0
11368038,11/3/2018,FCS,Wofford,Samford,PASSING,Miller,Mosley,YDS,77
11368039,11/3/2018,FCS,Wofford,Samford,PASSING,Miller,Mosley,TD,0
11368040,11/3/2018,FCS,Wofford,Samford,PASSING,Miller,Mosley,LONG,35
11368041,11/3/2018,FCS,Wofford,Samford,PASSING,Joe,Newman,CP-ATT-INT,6-14-0
11368042,11/3/2018,FCS,Wofford,Samford,PASSING,Joe,Newman,YDS,69
11368043,11/3/2018,FCS,Wofford,Samford,PASSING,Joe,Newman,TD,0
11368044,11/3/2018,FCS,Wofford,Samford,PASSING,Joe,Newman,LONG,21
11368045,11/3/2018,FCS,Wofford,Samford,PASSING,Jason,Hill,CP-ATT-INT,1-1-0
11368046,11/3/2018,FCS,Wofford,Samford,PASSING,Jason,Hill,YDS,25
11368047,11/3/2018,FCS,Wofford,Samford,PASSING,Jason,Hill,TD,1
11368048,11/3/2018,FCS,Wofford,Samford,PASSING,Jason,Hill,LONG,25
11368049,11/3/2018,FCS,Wofford,Samford,RECEIVING,D'mauriae,VanCleave,REC,2
11368050,11/3/2018,FCS,Wofford,Samford,RECEIVING,D'mauriae,VanCleave,YDS,56
11368051,11/3/2018,FCS,Wofford,Samford,RECEIVING,D'mauriae,VanCleave,TD,0
11368052,11/3/2018,FCS,Wofford,Samford,RECEIVING,D'mauriae,VanCleave,LONG,35
11368053,11/3/2018,FCS,Wofford,Samford,RECEIVING,Jason,Hill,REC,3
11368054,11/3/2018,FCS,Wofford,Samford,RECEIVING,Jason,Hill,YDS,51
11368055,11/3/2018,FCS,Wofford,Samford,RECEIVING,Jason,Hill,TD,0
11368056,11/3/2018,FCS,Wofford,Samford,RECEIVING,Jason,Hill,LONG,31
11368057,11/3/2018,FCS,Wofford,Samford,RECEIVING,Lennox,McAfee,REC,2
11368058,11/3/2018,FCS,Wofford,Samford,RECEIVING,Lennox,McAfee,YDS,34
11368059,11/3/2018,FCS,Wofford,Samford,RECEIVING,Lennox,McAfee,TD,1
11368060,11/3/2018,FCS,Wofford,Samford,RECEIVING,Lennox,McAfee,LONG,25
11368061,11/3/2018,FCS,Wofford,Samford,RECEIVING,Dorian,Lindsey,REC,2
11368062,11/3/2018,FCS,Wofford,Samford,RECEIVING,Dorian,Lindsey,YDS,15
11368063,11/3/2018,FCS,Wofford,Samford,RECEIVING,Dorian,Lindsey,TD,0
11368064,11/3/2018,FCS,Wofford,Samford,RECEIVING,Dorian,Lindsey,LONG,10
11368065,11/3/2018,FCS,Wofford,Samford,RECEIVING,T.J.,Luther,REC,1
11368066,11/3/2018,FCS,Wofford,Samford,RECEIVING,T.J.,Luther,YDS,15
11368067,11/3/2018,FCS,Wofford,Samford,RECEIVING,T.J.,Luther,TD,0
11368068,11/3/2018,FCS,Wofford,Samford,RECEIVING,T.J.,Luther,LONG,15
11368069,11/3/2018,FCS,Wofford,Samford,KICKING,Luke,Carter,FG-FGA,2/2
11368070,11/3/2018,FCS,Wofford,Samford,KICKING,Luke,Carter,LONG,34
11368071,11/3/2018,FCS,Wofford,Samford,KICKING,Luke,Carter,XP,2
11368072,11/3/2018,FCS,Wofford,Samford,KICKING,Luke,Carter,PTS,8
11368073,11/3/2018,FCS,Wofford,Samford,PUNTING,Luke,Carter,NO,6
11368074,11/3/2018,FCS,Wofford,Samford,PUNTING,Luke,Carter,YDS,273
11368075,11/3/2018,FCS,Wofford,Samford,PUNTING,Luke,Carter,AVG,45.5
11368076,11/3/2018,FCS,Wofford,Samford,PUNTING,Luke,Carter,LONG,54
11368077,11/3/2018,FCS,Wofford,Samford,KICK RETURNS,D'mauriae,VanCleave,NO,1
11368078,11/3/2018,FCS,Wofford,Samford,KICK RETURNS,D'mauriae,VanCleave,YDS,18
11368079,11/3/2018,FCS,Wofford,Samford,KICK RETURNS,D'mauriae,VanCleave,AVG,18.0
11368080,11/3/2018,FCS,Wofford,Samford,KICK RETURNS,D'mauriae,VanCleave,LONG,18
11368081,11/3/2018,FCS,Wofford,Samford,KICK RETURNS,T.J.,Luther,NO,1
11368082,11/3/2018,FCS,Wofford,Samford,KICK RETURNS,T.J.,Luther,YDS,10
11368083,11/3/2018,FCS,Wofford,Samford,KICK RETURNS,T.J.,Luther,AVG,10.0
11368084,11/3/2018,FCS,Wofford,Samford,KICK RETURNS,T.J.,Luther,LONG,10
11368085,11/3/2018,FCS,Wofford,Samford,DEFENSE,Miles,Brown,TOT,0
11368086,11/3/2018,FCS,Wofford,Samford,DEFENSE,Miles,Brown,SOLO,0
11368087,11/3/2018,FCS,Wofford,Samford,DEFENSE,Miles,Brown,SACKS,0.5
