ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
4839001,10/13/2018,FBS,UCLA,California,RUSHING,Joshua,Kelley,ATT,30
4839002,10/13/2018,FBS,UCLA,California,RUSHING,Joshua,Kelley,YDS,157
4839003,10/13/2018,FBS,UCLA,California,RUSHING,Joshua,Kelley,TD,3
4839004,10/13/2018,FBS,UCLA,California,RUSHING,Joshua,Kelley,LONG,18
4839005,10/13/2018,FBS,UCLA,California,RUSHING,Dorian,Thompson-Robinson,ATT,9
4839006,10/13/2018,FBS,UCLA,California,RUSHING,Dorian,Thompson-Robinson,YDS,27
4839007,10/13/2018,FBS,UCLA,California,RUSHING,Dorian,Thompson-Robinson,TD,0
4839008,10/13/2018,FBS,UCLA,California,RUSHING,Dorian,Thompson-Robinson,LONG,20
4839009,10/13/2018,FBS,UCLA,California,RUSHING,Cole,Kinder,ATT,6
4839010,10/13/2018,FBS,UCLA,California,RUSHING,Cole,Kinder,YDS,19
4839011,10/13/2018,FBS,UCLA,California,RUSHING,Cole,Kinder,TD,0
4839012,10/13/2018,FBS,UCLA,California,RUSHING,Cole,Kinder,LONG,8
4839013,10/13/2018,FBS,UCLA,California,RUSHING,Martell,Irby,ATT,4
4839014,10/13/2018,FBS,UCLA,California,RUSHING,Martell,Irby,YDS,9
4839015,10/13/2018,FBS,UCLA,California,RUSHING,Martell,Irby,TD,0
4839016,10/13/2018,FBS,UCLA,California,RUSHING,Martell,Irby,LONG,4
4839017,10/13/2018,FBS,UCLA,California,RUSHING,Kazmeir,Allen,ATT,2
4839018,10/13/2018,FBS,UCLA,California,RUSHING,Kazmeir,Allen,YDS,6
4839019,10/13/2018,FBS,UCLA,California,RUSHING,Kazmeir,Allen,TD,0
4839020,10/13/2018,FBS,UCLA,California,RUSHING,Kazmeir,Allen,LONG,4
4839021,10/13/2018,FBS,UCLA,California,RUSHING,Demetric,Felton,ATT,1
4839022,10/13/2018,FBS,UCLA,California,RUSHING,Demetric,Felton,YDS,3
4839023,10/13/2018,FBS,UCLA,California,RUSHING,Demetric,Felton,TD,0
4839024,10/13/2018,FBS,UCLA,California,RUSHING,Demetric,Felton,LONG,3
4839025,10/13/2018,FBS,UCLA,California,RUSHING,Michael,Ezeike,ATT,1
4839026,10/13/2018,FBS,UCLA,California,RUSHING,Michael,Ezeike,YDS,-2
4839027,10/13/2018,FBS,UCLA,California,RUSHING,Michael,Ezeike,TD,0
4839028,10/13/2018,FBS,UCLA,California,RUSHING,Michael,Ezeike,LONG,-2
4839029,10/13/2018,FBS,UCLA,California,RUSHING,,Team,ATT,1
4839030,10/13/2018,FBS,UCLA,California,RUSHING,,Team,YDS,-5
4839031,10/13/2018,FBS,UCLA,California,RUSHING,,Team,TD,0
4839032,10/13/2018,FBS,UCLA,California,RUSHING,,Team,LONG,-5
4839033,10/13/2018,FBS,UCLA,California,RUSHING,Dymond,Lee,ATT,1
4839034,10/13/2018,FBS,UCLA,California,RUSHING,Dymond,Lee,YDS,-7
4839035,10/13/2018,FBS,UCLA,California,RUSHING,Dymond,Lee,TD,0
4839036,10/13/2018,FBS,UCLA,California,RUSHING,Dymond,Lee,LONG,-7
4839037,10/13/2018,FBS,UCLA,California,PASSING,Dorian,Thompson-Robinson,CP-ATT-INT,13-15-0
4839038,10/13/2018,FBS,UCLA,California,PASSING,Dorian,Thompson-Robinson,YDS,141
4839039,10/13/2018,FBS,UCLA,California,PASSING,Dorian,Thompson-Robinson,TD,0
4839040,10/13/2018,FBS,UCLA,California,PASSING,Dorian,Thompson-Robinson,LONG,46
4839041,10/13/2018,FBS,UCLA,California,RECEIVING,Caleb,Wilson,REC,5
4839042,10/13/2018,FBS,UCLA,California,RECEIVING,Caleb,Wilson,YDS,92
4839043,10/13/2018,FBS,UCLA,California,RECEIVING,Caleb,Wilson,TD,0
4839044,10/13/2018,FBS,UCLA,California,RECEIVING,Caleb,Wilson,LONG,46
4839045,10/13/2018,FBS,UCLA,California,RECEIVING,Theo,Howard,REC,2
4839046,10/13/2018,FBS,UCLA,California,RECEIVING,Theo,Howard,YDS,23
4839047,10/13/2018,FBS,UCLA,California,RECEIVING,Theo,Howard,TD,0
4839048,10/13/2018,FBS,UCLA,California,RECEIVING,Theo,Howard,LONG,24
4839049,10/13/2018,FBS,UCLA,California,RECEIVING,Demetric,Felton,REC,2
4839050,10/13/2018,FBS,UCLA,California,RECEIVING,Demetric,Felton,YDS,10
4839051,10/13/2018,FBS,UCLA,California,RECEIVING,Demetric,Felton,TD,0
4839052,10/13/2018,FBS,UCLA,California,RECEIVING,Demetric,Felton,LONG,7
4839053,10/13/2018,FBS,UCLA,California,RECEIVING,Michael,Ezeike,REC,2
4839054,10/13/2018,FBS,UCLA,California,RECEIVING,Michael,Ezeike,YDS,8
4839055,10/13/2018,FBS,UCLA,California,RECEIVING,Michael,Ezeike,TD,0
4839056,10/13/2018,FBS,UCLA,California,RECEIVING,Michael,Ezeike,LONG,5
4839057,10/13/2018,FBS,UCLA,California,RECEIVING,Joshua,Kelley,REC,2
4839058,10/13/2018,FBS,UCLA,California,RECEIVING,Joshua,Kelley,YDS,8
4839059,10/13/2018,FBS,UCLA,California,RECEIVING,Joshua,Kelley,TD,0
4839060,10/13/2018,FBS,UCLA,California,RECEIVING,Joshua,Kelley,LONG,7
4839061,10/13/2018,FBS,UCLA,California,KICKING,JJ,Molson,FG-FGA,3/3
4839062,10/13/2018,FBS,UCLA,California,KICKING,JJ,Molson,LONG,42
